Instituição(IES);Sigla;Categoria Administrativa;Código Curso;Nome do Curso;Modalidade;CC;Data início funcionamento;Data Ato de Criação;Situação
CENTRO UNIVERSITÁRIO INTERNACIONAL;UNINTER;Privada com fins lucrativos;1597019;ACONSELHAMENTO TUTELAR PARA INFÂNCIA E ADOLESCÊNCIA;A Distância;-;Não iniciado;16/12/2021;Extinto
CENTRO UNIVERSITÁRIO UNIRB;UNIRB;Privada com fins lucrativos;1484192;ACUPUNTURA;Presencial;-;22/05/2019;28/03/2019;Em Atividade
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA;IFBA;Pública Federal;14624;ADMINISTAÇÃO HOTELEIRA;Presencial;-;20/07/1978;03/05/1978;Em Extinção
CENTRO UNIVERSITÁRIO INTERNACIONAL;UNINTER;Privada com fins lucrativos;1594929;ADMINISTRAÇÃO RURAL;A Distância;-;14/02/2022;30/08/2021;Em Atividade
CENTRO UNIVERSITÁRIO INTERNACIONAL;UNINTER;Privada com fins lucrativos;1571472;AGENTE COMUNITÁRIO DE SAÚDE E ENDEMIAS;A Distância;-;31/05/2021;07/04/2021;Em Atividade
CENTRO UNIVERSITÁRIO INTERNACIONAL;UNINTER;Privada com fins lucrativos;1595461;AGRICULTURA;A Distância;-;14/02/2022;29/10/2021;Em Atividade
CENTRO UNIVERSITÁRIO INGÁ;UNINGÁ;Privada com fins lucrativos;1427706;AGRIMENSURA;A Distância;-;03/02/2018;23/10/2017;Em Atividade
CENTRO UNIVERSITÁRIO LEONARDO DA VINCI;UNIASSELVI;Privada com fins lucrativos;1551528;AGROCOMPUTAÇÃO;A Distância;-;15/02/2021;28/10/2020;Em Atividade
CENTRO UNIVERSITÁRIO UNIFATECIE;UNIFATECIE;Privada com fins lucrativos;1575760;AGROCOMPUTAÇÃO;A Distância;-;31/05/2021;12/04/2021;Em Atividade
UNIVERSIDADE DE TAUBATÉ;UNITAU;Pública Municipal;1363719;AGROECOLOGIA;A Distância;-;20/02/2016;24/09/2013;Em Atividade
UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA;UFRB;Pública Federal;122140;AGROECOLOGIA;Presencial;4;10/08/2009;03/06/2009;Em Atividade
UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA;UFRB;Pública Federal;1299915;AGROECOLOGIA;Presencial;5;30/10/2014;03/11/2014;Em Atividade
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA BAIANO;IFBAIANO;Pública Federal;5001081;AGROECOLOGIA;Presencial;4;05/08/2013;26/10/2011;Em Atividade
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA;IFBA;Pública Federal;1442880;AGROINDÚSTRIA;Presencial;4;23/03/2018;25/03/2018;Em Atividade
CENTRO UNIVERSITÁRIO UNIFAS;-;Privada com fins lucrativos;1054932;AGROINDÚSTRIA;Presencial;-;Não iniciado;15/12/2009;Extinto
FACULDADE LUIZ EDUARDO MAGALHÃES;FILEM;Privada sem fins lucrativos;95269;AGROINDÚSTRIA;Presencial;-;04/08/2008;09/06/2006;Extinto
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA BAIANO;IFBAIANO;Pública Federal;1103527;AGROINDÚSTRIA;Presencial;4;15/03/2010;15/07/2009;Em Atividade
UNIVERSIDADE BRASIL;UB;Privada sem fins lucrativos;1443685;AGRONEGÓCIO;A Distância;-;19/04/2018;19/04/2018;Em Atividade
UNIVERSIDADE SANTO AMARO;UNISA;Privada sem fins lucrativos;1466457;AGRONEGÓCIO;A Distância;5;01/02/2018;26/09/2017;Em Atividade
UNIVERSIDADE SALVADOR;UNIFACS;Privada com fins lucrativos;88843;AGRONEGÓCIO;A Distância;-;08/08/2005;28/06/2005;Extinto
CENTRO UNIVERSITÁRIO DA GRANDE DOURADOS;UNIGRAN;Privada sem fins lucrativos;122396;AGRONEGÓCIO;A Distância;4;01/08/2008;21/01/2008;Em Atividade
CENTRO UNIVERSITÁRIO JORGE AMADO;UNIJORGE;Privada com fins lucrativos;1591266;AGRONEGÓCIO;A Distância;-;09/08/2021;09/08/2021;Em Atividade
UNIVERSIDADE CESUMAR;UNICESUMAR;Privada com fins lucrativos;111266;AGRONEGÓCIO;A Distância;-;27/10/2006;14/10/2006;Em Atividade
FACULDADE DO SUL DA BAHIA;FASB;Privada sem fins lucrativos;107434;AGRONEGÓCIO;Presencial;-;27/07/2009;07/11/2007;Extinto
CENTRO UNIVERSITÁRIO UNIFAS;-;Privada com fins lucrativos;1050028;AGRONEGÓCIO;Presencial;-;Não iniciado;15/12/2009;Extinto
Faculdade Unirb - Barreiras;F. UNIRB;Privada sem fins lucrativos;1299607;AGRONEGÓCIO;Presencial;3;09/05/2016;09/05/2016;Em Atividade
FACULDADE ALFREDO NASSER DE REMANSO;-;Privada sem fins lucrativos;1136370;AGRONEGÓCIO;Presencial;4;02/01/2017;-;Em Atividade
Faculdade Católica Paulista;FACAP;Privada sem fins lucrativos;1396108;AGRONEGÓCIO;A Distância;5;18/02/2019;06/11/2018;Em Atividade
Faculdade de Tecnologia CNA;FATECNA;Privada sem fins lucrativos;1336902;AGRONEGÓCIO;A Distância;3;13/08/2018;-;Em Atividade
CENTRO UNIVERSITÁRIO INTERNACIONAL;UNINTER;Privada com fins lucrativos;1595032;AGRONOMIA;A Distância;-;14/02/2022;31/08/2021;Em Atividade
CENTRO UNIVERSITÁRIO UNIRB;UNIRB;Privada com fins lucrativos;1441038;AGROPECUÁRIA;Presencial;-;12/11/2020;04/04/2018;Em Atividade
CENTRO UNIVERSITÁRIO UNIRB;UNIRB;Privada com fins lucrativos;1151559;ALIMENTOS;Presencial;-;28/01/2013;30/07/2012;Extinto
UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA;UFRB;Pública Federal;1406520;ALIMENTOS;Presencial;5;24/09/2018;03/04/2018;Em Atividade
Claretiano - Centro Universitário;CLARETIANOBT;Privada sem fins lucrativos;1485065;ANÁLISE DE DADOS;A Distância;-;01/02/2019;25/06/2018;Em Atividade
Claretiano - Centro Universitário;CLARETIANOBT;Privada sem fins lucrativos;115904;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;A Distância;-;04/02/2009;13/08/2008;Em Atividade
UNIVERSIDADE DE UBERABA;UNIUBE;Privada sem fins lucrativos;1517424;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;A Distância;-;02/03/2020;17/12/2019;Em Atividade
UNIVERSIDADE ESTÁCIO DE SÁ;UNESA;Privada com fins lucrativos;1119473;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;A Distância;5;08/02/2010;08/02/2010;Em Atividade
